file,Feature,model,class,acc_sd,f1-macro_sd,auc_sd,time-s_sd
kaggle_noNN,word_tf,rf,JP,0.6846109046945034,0.6013663863950216,0.7587728463198127,1.1900412559509277
kaggle_noNN,word_tf,svc,JP,0.6990835906839091,0.6892075781528839,0.76059084238601,366.4438663005829
kaggle_noNN,word_tfidf,cnb,JP,0.669909954,0.6628262548,0.7297282882,0.04288568499999999
kaggle_noNN,word_tfidf,lgb,JP,0.7301134354000001,0.717519692,0.7885215728,84.327690934
kaggle_noNN,word_tfidf,lgr,JP,0.6687485256000001,0.6588397412000001,0.7230261754,2.908532858
kaggle_noNN,word_tfidf,rf,JP,0.6857693172,0.6021149739999999,0.7517871082,2.4244243144000004
kaggle_noNN,word_tfidf,svc,JP,0.6968843154,0.6888305288,0.7575310963999999,350.56140322
kaggle_noNNnoSW,LIWC,cnb,JP,0.5592203218,0.5540939307999999,0.5807779498000001,0.0161598682
kaggle_noNNnoSW,LIWC,lgb,JP,0.5771669721999999,0.5671039838,0.5963389321999999,2.839730835
kaggle_noNNnoSW,LIWC,lgr,JP,0.5795986002,0.5733467768,0.6010644402,0.1002330782
kaggle_noNNnoSW,LIWC,rf,JP,0.6043779758,0.4585810124,0.5760530854000001,0.8374220372
kaggle_noNNnoSW,LIWC,svc,JP,0.57068596,0.5655477706,0.6022000484000001,25.42996402
kaggle_noNNnoSW,char_tf,cnb,JP,0.6599517601707092,0.6519417477975891,0.7066796523587119,0.04368996620178223
kaggle_noNNnoSW,char_tf,lgb,JP,0.7333558515087177,0.7210153586096345,0.8035044277013268,14.350392246246338
kaggle_noNNnoSW,char_tf,lgr,JP,0.6653919100774196,0.6564058704666257,0.7199086076676313,2.1622167110443113
kaggle_noNNnoSW,char_tf,rf,JP,0.6897063120590191,0.6088165263614189,0.7669133291641206,1.2009198665618896
kaggle_noNNnoSW,char_tf,svc,JP,0.6956111674065496,0.6864451013143392,0.7558571269852845,361.88452258110044
kaggle_noNNnoSW,char_tfidf,cnb,JP,0.6577523507999999,0.6502663766,0.7067836703999999,0.0437843324
