,file,cv_split#,class,Feature,model,CM,Acc,f1-macro,auc,time-s
11,kaggle_noNNnoSW,3,JP,combo,rf,"[[968  76]
 [415 268]]",0.7156919513607412,0.6598005479575162,0.7918524876166113,3.7041535377502437
12,kaggle_noNNnoSW,3,JP,combo,lgr,"[[714 330]
 [297 386]]",0.6369426751592356,0.6233566207353531,0.6837804255510116,21.824828386306766
13,kaggle_noNNnoSW,3,JP,combo,svc,"[[765 279]
 [244 439]]",0.6971627099015634,0.6859730350563737,0.7541048899659492,1447.626799106598
14,kaggle_noNNnoSW,3,JP,combo,lgb,"[[815 229]
 [227 456]]",0.7359583092067169,0.7240332374560563,0.8039245384628331,178.0140016078949
15,kaggle_noNNnoSW,4,JP,combo,cnb,"[[693 351]
 [219 464]]",0.6699478865083961,0.6640408069655246,0.7212377217930809,0.1376328468322754
16,kaggle_noNNnoSW,4,JP,combo,rf,"[[971  73]
 [413 270]]",0.7185871453387377,0.6630755224139426,0.7864230098225656,3.210402011871338
17,kaggle_noNNnoSW,4,JP,combo,lgr,"[[711 333]
 [254 429]]",0.6601042269832079,0.6507932297739756,0.7091740854804418,18.87640953063965
18,kaggle_noNNnoSW,4,JP,combo,svc,"[[744 300]
 [225 458]]",0.6960046323103648,0.6874324524180612,0.7625320453487263,1440.7844803333282
19,kaggle_noNNnoSW,4,JP,combo,lgb,"[[855 189]
 [240 443]]",0.7515923566878981,0.7366016243687307,0.8077559560873541,295.07749438285833
20,kaggle_noNNnoSW,5,JP,combo,cnb,"[[721 323]
 [234 449]]",0.6774753908511869,0.6692714054621813,0.7250445970279866,0.14764094352722168
21,kaggle_noNNnoSW,5,JP,combo,rf,"[[961  83]
 [420 263]]",0.7087434858135495,0.6518766092593149,0.7626736899973634,3.5166716575622563
22,kaggle_noNNnoSW,5,JP,combo,lgr,"[[709 335]
 [289 394]]",0.6386797915460336,0.6262454461964468,0.6902582139871989,19.03170895576477
23,kaggle_noNNnoSW,5,JP,combo,svc,"[[756 288]
 [228 455]]",0.7012159814707586,0.6918553988895989,0.7608877052444982,1406.389104127884
24,kaggle_noNNnoSW,5,JP,combo,lgb,"[[812 232]
 [241 442]]",0.7261146496815286,0.7129383345474761,0.7968366963419218,262.0161080360413
25,kaggle_noNNnoSW,1,JP,char_tf,cnb,"[[704 340]
 [252 432]]",0.6574074074074074,0.6487032967032967,0.7062271739373979,0.0489041805267334
26,kaggle_noNNnoSW,1,JP,char_tf,rf,"[[988  56]
 [492 192]]",0.6828703703703703,0.5974507390000203,0.7727798503282471,1.3309783935546875
27,kaggle_noNNnoSW,1,JP,char_tf,lgr,"[[710 334]
 [235 449]]",0.6707175925925926,0.6630301011390871,0.7332123411978222,2.1511733531951904
