Filename,Segment,WC,Analytic,Clout,Authentic,Tone,Sixltr,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler
row_4069.txt,1,1078,38.99,36.57,59.54,28.86,10.67,62.52,17.25,11.22,6.49,0.56,2.13,0.93,1.11,6.03,5.94,14.84,10.39,10.30,6.22,1.48,18.46,5.19,3.06,1.11,0.74,2.32,5.66,2.88,2.69,0.56,0.83,0.28,7.70,0.19,0.09,0.93,0.28,17.90,3.80,1.30,2.50,6.40,1.95,5.47,2.41,0.46,1.02,0.74,0.93,0.00,0.19,0.09,0.37,4.64,1.48,0.93,0.93,1.02,0.56,0.65,16.33,0.93,10.11,1.30,4.82,4.45,0.46,0.28,0.09,0.19,0.19,0.09,1.48,0.37,0.56,0.28,0.28,0.09
row_4070.txt,1,543,41.55,56.59,56.06,20.22,14.00,62.25,19.71,12.34,6.08,0.74,3.50,1.47,0.55,7.37,5.71,15.10,9.39,9.76,4.42,1.47,16.76,5.16,3.13,3.13,1.47,2.58,6.63,3.13,3.50,0.37,1.10,0.55,10.31,0.00,0.00,1.10,0.55,17.50,4.79,2.21,1.66,4.42,1.10,4.79,3.31,0.55,1.66,0.92,0.74,0.74,0.00,0.00,0.00,4.79,1.10,0.92,1.47,1.47,0.37,0.55,15.10,0.55,9.39,1.29,4.97,3.31,1.29,0.18,0.00,0.37,0.18,0.00,1.66,0.55,0.37,0.55,0.18,0.00
row_4071.txt,1,760,71.43,56.28,74.06,58.13,11.84,62.76,15.00,9.47,5.13,0.00,3.55,0.00,0.79,5.53,9.34,17.76,10.13,7.50,6.71,0.79,20.13,4.74,2.50,2.63,0.13,3.03,5.13,3.42,1.71,0.53,0.39,0.66,6.71,0.00,0.00,0.00,0.00,16.18,5.53,2.76,1.32,5.13,0.79,2.76,2.63,1.18,0.79,0.66,0.53,0.00,0.26,0.00,0.26,3.68,0.39,1.05,1.18,1.05,0.39,1.05,17.37,2.11,12.76,1.58,7.76,3.55,0.53,0.13,0.00,0.26,0.13,0.00,0.39,0.00,0.00,0.26,0.13,0.00
row_4072.txt,1,839,31.92,61.73,48.26,83.13,9.42,63.53,18.95,12.16,5.24,0.12,5.48,0.48,0.83,6.79,7.63,11.92,10.13,9.06,7.51,1.43,19.31,4.89,2.98,2.86,0.60,2.74,6.08,4.65,1.43,0.24,0.36,0.48,9.65,0.00,0.00,0.12,0.36,19.79,4.89,2.03,2.38,5.24,2.15,5.60,2.98,1.67,0.72,0.48,0.60,0.12,0.12,0.00,0.00,4.29,0.60,0.95,1.79,1.55,0.48,0.48,18.12,0.48,7.87,0.60,4.89,2.15,0.48,0.12,0.00,0.24,0.00,0.00,1.31,0.00,0.12,0.60,0.48,0.00
row_4073.txt,1,924,59.34,52.60,33.23,49.97,12.55,64.61,13.20,6.28,1.73,0.11,3.03,0.87,0.54,6.93,8.01,17.32,12.23,8.98,6.28,2.27,16.56,6.39,3.14,2.16,1.19,3.57,5.63,3.35,2.06,0.32,1.08,0.22,7.14,0.11,0.11,0.43,0.54,17.21,2.92,2.06,2.27,5.52,1.62,5.30,1.95,0.87,0.43,0.43,1.08,0.43,0.65,0.22,0.00,2.60,0.11,1.08,0.54,0.97,0.22,0.32,15.69,0.54,11.58,0.97,7.25,3.14,0.11,0.32,0.00,0.22,0.11,0.00,1.30,0.32,0.11,0.54,0.22,0.11
row_4074.txt,1,988,62.21,46.36,55.03,54.35,13.06,62.15,14.68,9.41,4.76,0.61,1.62,1.62,0.81,5.26,7.49,17.61,11.54,6.48,6.58,2.43,17.51,7.69,3.54,1.52,1.72,3.44,4.66,3.04,1.52,0.40,0.20,0.40,7.89,0.20,0.10,1.11,0.91,15.08,2.94,1.82,1.82,5.57,0.91,3.74,1.82,0.61,0.81,0.30,0.30,0.00,0.10,0.10,0.00,5.97,1.32,1.72,2.02,1.21,0.30,0.91,14.78,1.11,13.77,1.21,7.59,4.96,1.21,0.40,0.00,0.10,0.40,0.10,0.91,0.10,0.40,0.10,0.10,0.20
row_4075.txt,1,579,58.91,35.19,32.69,81.71,9.67,55.44,13.47,9.67,5.87,0.00,3.11,0.52,0.17,3.63,7.43,13.30,9.15,7.25,7.60,1.04,14.68,5.18,3.45,1.55,1.04,2.25,4.84,3.97,0.86,0.00,0.17,0.17,5.87,0.00,0.17,0.00,0.69,16.58,2.59,0.52,2.59,5.87,2.07,5.87,2.07,1.04,0.35,0.69,0.52,0.17,0.35,0.00,0.00,6.91,1.21,2.42,1.38,1.90,0.52,0.52,13.13,0.52,7.08,0.52,3.97,2.59,0.86,0.17,0.00,0.00,0.00,0.17,2.59,0.00,2.07,0.69,0.17,0.00
row_4076.txt,1,911,66.65,44.77,49.77,61.16,12.18,65.20,16.58,8.56,5.60,0.22,2.20,0.44,0.11,8.01,9.22,17.56,13.06,7.68,3.84,0.55,21.19,6.37,3.07,0.99,0.66,2.52,5.71,3.73,1.87,0.00,0.88,0.44,5.71,0.00,0.00,0.44,0.11,18.11,4.50,1.76,3.18,4.94,1.87,3.07,1.65,0.66,0.55,0.33,1.10,0.11,0.22,0.33,0.22,4.83,0.77,1.54,2.20,0.44,0.44,0.88,18.11,1.10,11.42,1.54,7.03,3.18,0.88,0.99,0.11,0.11,0.00,0.11,0.44,0.22,0.00,0.11,0.11,0.00
row_4077.txt,1,1244,58.98,28.68,73.00,73.77,13.91,66.88,16.56,9.65,6.51,0.00,2.01,0.48,0.64,6.91,8.68,17.93,11.17,9.00,5.87,1.77,18.65,6.11,3.78,1.93,1.29,3.70,6.19,4.34,1.77,0.24,0.56,0.32,6.11,0.00,0.16,0.24,0.32,18.57,3.62,1.21,2.33,5.63,2.17,5.31,2.57,0.64,0.72,0.88,1.13,0.00,0.32,0.32,0.32,3.62,0.64,0.96,1.37,0.80,0.16,0.88,15.92,1.29,12.06,1.13,7.23,3.70,0.40,0.40,0.08,0.16,0.00,0.00,1.05,0.16,0.24,0.24,0.40,0.00
row_4078.txt,1,673,29.04,64.50,50.66,65.19,10.40,61.52,21.99,14.86,8.77,0.15,4.31,1.04,0.59,7.13,5.65,12.33,12.18,6.54,5.65,0.30,22.44,5.35,2.08,2.08,0.89,1.63,8.62,5.35,3.27,0.30,1.78,0.15,10.70,0.15,0.30,0.45,0.74,16.20,3.71,3.42,2.67,4.75,1.63,2.23,2.53,0.45,0.45,1.49,0.59,0.15,0.00,0.00,0.00,3.86,1.19,0.74,1.04,1.19,0.15,0.45,20.21,0.30,10.10,2.53,4.90,2.82,0.30,0.00,0.00,0.00,0.00,0.15,2.38,0.15,0.89,0.59,0.45,0.15
row_4079.txt,1,775,73.26,64.12,34.32,77.92,15.10,54.45,13.81,9.29,3.87,0.26,2.32,1.94,0.90,4.52,6.19,16.65,9.68,5.81,4.26,1.55,16.90,6.84,3.61,1.81,0.52,2.71,6.84,4.52,1.68,0.39,0.39,0.39,9.55,0.00,0.13,1.16,1.03,11.87,3.23,1.94,1.16,3.61,0.52,2.97,1.94,0.52,0.52,0.77,0.90,0.26,0.26,0.13,0.00,6.71,1.81,1.81,2.06,1.68,0.39,0.65,14.97,1.42,11.61,1.16,7.10,3.61,1.29,0.90,0.00,0.13,0.00,0.00,0.39,0.13,0.13,0.13,0.00,0.00
row_4080.txt,1,1073,32.26,72.76,41.81,39.07,11.00,67.47,19.48,12.95,4.75,0.28,5.22,1.40,1.30,6.52,7.74,14.07,14.73,7.55,5.96,1.49,22.93,4.38,1.58,2.14,0.75,1.77,5.22,2.89,2.14,0.19,0.75,0.47,11.37,0.00,0.09,0.56,0.93,18.92,5.78,1.77,3.63,4.47,1.86,4.57,2.98,1.30,1.03,0.65,0.56,0.09,0.28,0.09,0.00,3.91,0.93,1.12,1.12,0.47,0.56,1.03,18.83,1.58,9.69,1.03,5.50,3.26,0.56,0.28,0.00,0.09,0.00,0.00,0.65,0.00,0.28,0.00,0.28,0.09
row_4081.txt,1,805,60.73,38.74,42.56,43.92,10.68,64.10,14.78,9.19,4.72,0.00,2.98,0.87,0.62,5.47,8.70,16.15,10.43,9.07,5.47,2.24,19.63,7.70,4.10,1.61,1.49,3.35,8.20,4.60,3.60,0.37,1.49,0.12,6.71,0.00,0.00,0.12,0.75,15.40,1.49,1.99,1.99,4.47,2.24,5.47,0.99,0.50,0.37,0.12,1.61,0.62,0.62,0.12,0.50,5.71,0.37,0.87,1.49,2.48,0.75,0.25,19.63,0.75,11.06,0.75,6.58,3.60,0.75,0.25,0.00,0.62,0.12,0.00,1.12,0.12,0.00,0.12,0.62,0.12
row_4082.txt,1,897,23.17,43.80,79.65,85.95,8.03,69.12,17.39,10.81,4.91,1.11,2.45,1.11,1.23,6.58,6.91,14.72,15.94,8.70,7.69,3.12,26.98,5.35,2.79,3.79,0.78,2.56,4.79,4.12,0.67,0.00,0.33,0.22,8.92,0.22,0.00,1.00,0.33,18.62,5.57,1.78,2.23,4.35,1.11,5.91,2.45,0.78,1.11,0.45,1.11,0.22,0.22,0.00,0.45,6.69,2.01,1.78,1.78,2.01,0.45,0.45,24.75,1.90,12.93,1.11,6.47,5.57,0.56,0.33,0.00,0.22,0.00,0.00,0.78,0.11,0.11,0.45,0.11,0.00
row_4083.txt,1,755,24.83,35.03,55.66,53.14,11.66,57.35,16.16,10.07,7.28,0.26,1.46,0.00,1.06,6.09,4.50,11.52,10.33,11.52,7.55,0.93,18.54,6.09,2.91,3.18,1.19,2.65,8.21,4.77,3.31,0.13,1.19,1.06,6.89,0.00,0.66,0.00,0.53,18.68,3.71,1.99,2.12,5.96,2.38,4.11,3.05,0.93,0.79,0.79,1.32,0.13,0.13,0.13,0.40,5.83,1.72,1.85,1.59,1.06,0.93,0.40,17.09,1.19,8.87,1.46,4.11,2.91,0.66,0.13,0.00,0.26,0.13,0.26,0.79,0.13,0.26,0.26,0.13,0.00
row_4084.txt,1,1297,44.03,63.58,35.28,57.85,10.79,66.92,19.66,11.95,5.01,0.85,4.01,1.23,0.85,7.71,7.48,15.88,11.80,7.56,5.40,2.00,20.66,6.71,2.78,2.16,1.08,2.08,7.79,4.63,2.93,0.39,0.69,0.31,10.33,0.08,0.23,0.46,1.16,16.89,3.24,2.08,3.62,4.70,1.93,4.55,2.62,0.93,1.00,0.62,0.54,0.08,0.23,0.00,0.23,6.32,1.62,1.31,1.62,1.54,0.85,1.31,17.58,1.54,10.79,1.31,6.01,3.55,0.69,0.15,0.08,0.15,0.08,0.08,0.77,0.15,0.31,0.31,0.08,0.00
row_4085.txt,1,1063,75.29,55.23,72.83,70.07,11.10,64.82,17.03,10.35,5.64,0.38,3.20,0.75,0.38,6.59,8.37,20.23,9.60,6.49,5.36,1.51,18.25,6.77,3.29,1.41,0.94,2.35,4.89,3.57,1.22,0.28,0.38,0.09,8.94,0.00,0.00,0.85,0.09,16.27,2.54,2.26,2.07,4.70,1.79,4.05,2.35,0.38,1.03,0.66,0.38,0.00,0.28,0.00,0.00,5.74,1.51,1.69,1.60,0.94,0.38,0.38,16.37,1.32,15.24,1.98,8.75,4.52,1.13,0.28,0.00,0.09,0.00,0.00,0.56,0.00,0.28,0.09,0.09,0.09
