Filename,Segment,WC,Analytic,Clout,Authentic,Tone,Sixltr,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler
row_4127.txt,1,1189,45.25,19.79,88.94,8.63,10.85,58.45,19.18,13.37,11.61,0.25,0.34,0.67,0.50,5.72,4.96,14.38,8.75,7.23,6.06,0.76,18.25,5.30,3.28,1.77,0.67,2.19,7.74,3.11,4.54,1.09,1.18,1.43,5.97,0.34,0.17,0.08,0.93,12.62,3.20,1.51,1.93,3.28,1.01,2.44,4.29,1.35,1.18,1.68,2.27,1.09,0.59,0.00,0.42,5.89,1.26,1.43,1.68,1.43,0.67,1.01,15.05,1.51,13.71,1.43,7.06,5.21,0.59,1.18,0.00,0.17,0.00,0.00,0.59,0.25,0.00,0.17,0.17,0.00
row_4128.txt,1,920,30.62,22.67,97.10,22.40,13.59,56.96,19.35,12.61,10.65,0.11,1.63,0.00,0.22,6.74,3.26,12.50,7.72,8.15,7.61,0.98,17.61,5.65,2.93,2.28,0.87,2.07,6.52,3.15,3.37,0.33,0.98,1.30,6.85,0.22,0.00,0.11,0.11,16.41,5.54,1.85,1.41,4.46,1.63,3.80,4.35,0.43,0.76,2.93,2.72,0.98,0.98,0.22,0.33,5.22,0.87,1.74,1.41,1.52,0.43,0.98,16.20,0.87,13.80,2.17,5.98,6.09,2.07,0.43,0.43,0.33,0.11,0.11,1.41,0.65,0.11,0.43,0.22,0.00
row_4129.txt,1,566,78.52,39.54,12.03,65.93,9.36,31.27,6.01,4.95,3.36,0.00,1.41,0.18,0.00,1.06,4.06,7.60,3.89,5.48,5.30,0.88,8.66,3.36,1.59,0.71,0.53,1.06,4.77,3.36,1.24,0.53,0.18,0.35,4.06,0.53,0.18,0.18,0.35,11.31,2.30,0.53,0.88,5.12,0.88,3.89,1.24,0.53,0.53,0.18,0.71,0.35,0.18,0.00,0.00,3.53,1.06,0.71,1.24,0.53,0.18,0.53,7.24,0.53,5.48,1.06,2.47,1.77,0.71,0.88,0.53,0.00,0.35,0.71,0.71,0.00,0.53,0.18,0.00,0.00
row_4130.txt,1,788,40.00,21.94,69.81,46.84,12.18,54.57,18.53,11.93,8.88,0.13,1.40,0.89,0.63,6.60,4.70,11.29,8.38,6.47,5.46,1.65,16.37,5.58,3.30,1.65,0.89,4.19,5.84,3.43,2.28,0.51,1.02,0.38,7.23,0.00,0.13,0.25,0.76,20.30,5.20,1.90,1.52,6.85,2.16,5.84,2.66,1.40,0.51,0.51,1.27,0.51,0.63,0.00,0.00,4.31,0.76,1.65,1.14,1.02,0.25,1.02,13.58,1.14,6.60,0.51,3.30,2.79,1.78,0.51,0.00,0.00,0.00,0.00,0.51,0.13,0.00,0.13,0.25,0.00
row_4131.txt,1,1429,50.87,50.84,72.36,75.18,12.11,58.36,18.82,12.81,7.98,0.70,2.31,0.91,0.91,6.02,6.86,13.30,7.49,6.93,6.16,1.40,15.54,3.43,1.75,1.47,0.70,2.66,6.44,4.48,1.82,0.56,0.21,0.42,11.20,0.49,0.28,0.84,1.12,17.14,3.85,1.54,1.40,5.67,1.82,4.62,3.29,0.98,1.19,0.98,0.91,0.07,0.35,0.07,0.14,6.23,2.52,1.19,1.33,1.05,0.42,1.68,12.95,0.35,10.43,0.98,5.04,4.13,0.98,1.19,0.21,0.42,0.21,0.07,0.70,0.00,0.07,0.35,0.14,0.00
row_4132.txt,1,1366,32.69,55.82,81.39,80.24,11.71,60.98,20.13,12.66,8.27,0.51,2.12,1.24,0.51,7.47,5.78,12.52,10.69,7.69,6.22,0.81,19.18,6.59,2.42,2.05,0.88,1.98,7.32,5.12,2.12,0.44,0.37,0.66,11.42,0.51,0.51,0.37,1.32,13.54,3.44,1.39,1.39,3.44,1.76,3.51,2.49,0.73,0.66,1.10,1.98,0.51,0.73,0.22,0.00,6.22,2.12,0.95,1.39,1.54,0.51,1.39,16.62,0.95,13.76,1.83,6.73,5.64,1.10,0.51,0.07,0.37,0.22,0.00,0.81,0.00,0.22,0.22,0.37,0.00
row_4133.txt,1,1272,42.96,70.64,64.27,96.58,12.03,57.63,19.34,13.44,6.45,0.39,5.03,0.63,0.94,5.90,5.82,12.42,8.10,6.45,6.37,1.42,15.80,5.42,2.91,1.57,0.79,1.73,8.73,6.84,1.89,0.24,0.16,0.94,12.50,0.39,0.63,0.79,0.16,15.41,3.46,1.34,1.89,4.17,2.36,4.64,4.01,1.49,1.02,1.26,1.81,0.39,0.47,0.08,0.31,6.68,2.75,1.42,1.89,1.34,0.47,0.94,13.36,1.02,11.16,1.42,6.05,3.69,0.79,0.79,0.08,0.08,0.55,0.00,1.02,0.00,0.31,0.39,0.47,0.00
row_4134.txt,1,1259,57.38,45.57,80.37,67.79,14.14,57.59,15.49,9.77,6.67,0.95,1.19,0.24,0.71,5.72,6.51,14.85,9.13,7.70,6.04,1.35,18.03,5.80,3.49,2.07,0.87,1.83,6.75,4.29,2.07,0.40,0.71,0.40,8.90,0.16,0.56,0.56,0.87,16.60,4.69,1.43,1.59,4.69,1.67,4.13,2.54,0.79,0.87,0.48,1.35,0.24,0.56,0.24,0.08,6.04,2.38,1.03,1.67,0.95,0.48,1.59,14.93,0.56,12.47,1.11,6.43,4.69,1.11,0.48,0.08,0.71,0.24,0.24,1.03,0.00,0.32,0.08,0.79,0.08
row_4135.txt,1,1098,78.26,33.75,83.98,16.63,13.75,52.09,14.66,10.84,8.56,0.36,1.09,0.55,0.27,3.83,6.74,14.75,6.92,3.92,5.28,0.73,13.93,3.92,1.37,0.91,0.64,1.64,6.10,2.64,3.28,0.64,0.82,0.73,6.65,1.09,0.09,0.82,0.91,9.02,0.91,1.64,1.46,2.64,1.64,2.55,2.46,1.00,0.82,0.55,2.19,1.09,0.18,0.00,0.82,7.38,1.37,1.64,2.82,1.00,0.91,0.91,11.66,1.55,16.94,2.00,8.93,6.10,2.73,1.09,1.09,0.82,0.46,0.18,1.09,0.46,0.18,0.36,0.09,0.00
row_4136.txt,1,1478,26.92,30.35,92.00,61.70,8.53,60.42,20.23,14.01,9.68,1.01,2.30,0.34,0.68,6.22,4.06,13.19,9.74,7.37,7.37,2.10,19.76,5.48,2.84,2.10,0.81,2.23,5.82,3.86,1.96,0.68,0.14,0.81,9.88,0.34,0.68,0.41,0.68,17.86,3.38,2.57,1.76,4.40,1.76,6.56,3.38,1.35,1.01,0.88,2.44,0.88,0.68,0.14,0.41,7.85,2.57,1.42,1.89,2.30,0.47,1.22,16.78,0.88,11.91,1.89,5.82,4.13,0.81,1.01,0.07,0.27,0.00,0.14,1.22,0.00,0.81,0.41,0.00,0.00
